Protocol name: qPCR + HRM Melt
Cycle, Time, Temp, Sensor1, Sensor2, Sensor3, Sensor4, Sensor5, Sensor6, Sensor7, Sensor8
6, 683, 88.2, 436, 435, 442, 441, 437, 439, 442, 436
6, 685, 88.4, 436, 435, 442, 441, 437, 438, 441, 436
6, 687, 88.6, 436, 435, 441, 440, 437, 438, 441, 436
6, 689, 88.8, 436, 435, 441, 440, 437, 438, 441, 436
6, 691, 89.0, 436, 435, 441, 440, 437, 438, 441, 436
6, 693, 89.2, 435, 434, 441, 440, 436, 438, 440, 435
6, 695, 89.4, 435, 434, 440, 439, 436, 437, 440, 435
6, 697, 89.6, 435, 434, 440, 439, 436, 437, 440, 435
6, 699, 89.8, 435, 434, 440, 439, 436, 437, 440, 435
6, 701, 90.0, 435, 434, 440, 439, 435, 437, 440, 435
6, 703, 90.2, 435, 434, 440, 439, 435, 437, 440, 435
6, 705, 90.4, 434, 433, 439, 438, 435, 436, 439, 434
6, 707, 90.6, 434, 433, 439, 438, 435, 436, 439, 434
6, 709, 90.8, 434, 433, 439, 438, 435, 436, 439, 434
6, 711, 91.0, 434, 433, 439, 438, 435, 436, 439, 434
6, 713, 91.2, 434, 433, 439, 438, 435, 436, 439, 434
6, 715, 91.4, 434, 433, 439, 438, 434, 436, 439, 434
6, 717, 91.6, 434, 433, 439, 438, 434, 436, 439, 434
6, 719, 91.8, 434, 433, 439, 438, 434, 435, 438, 434
6, 721, 92.0, 434, 433, 439, 438, 434, 435, 438, 434
6, 723, 92.2, 434, 433, 438, 437, 434, 435, 438, 434
6, 725, 92.4, 433, 432, 438, 437, 434, 435, 438, 433
6, 727, 92.6, 433, 432, 438, 437, 434, 435, 438, 433
6, 729, 92.8, 433, 432, 438, 437, 434, 435, 438, 433
6, 731, 93.0, 433, 432, 438, 437, 434, 435, 438, 433
6, 733, 93.2, 433, 432, 438, 437, 434, 435, 438, 433
6, 735, 93.4, 433, 432, 438, 437, 433, 435, 437, 433
6, 737, 93.6, 433, 432, 438, 437, 433, 434, 437, 433
6, 739, 93.8, 433, 432, 438, 437, 433, 434, 437, 433
6, 741, 94.0, 433, 432, 438, 437, 433, 434, 437, 433
6, 743, 94.2, 432, 431, 437, 436, 433, 434, 437, 432
6, 745, 94.4, 432, 431, 437, 436, 433, 434, 437, 432
6, 747, 94.6, 432, 431, 437, 436, 433, 434, 437, 432
6, 749, 94.8, 432, 431, 437, 436, 433, 434, 437, 432
6, 751, 95.0, 432, 431, 437, 436, 433, 434, 437, 432
