Protocol name: HRM Melt Only
Cycle, Time, Temp, Sensor1, Sensor2, Sensor3, Sensor4, Sensor5, Sensor6, Sensor7, Sensor8
6, 145, 79.4, 3780, 3730, 3880, 3830, 3760, 3800, 3860, 3780
6, 147, 79.6, 3620, 3570, 3720, 3670, 3600, 3640, 3700, 3620
6, 149, 79.8, 3460, 3410, 3560, 3510, 3440, 3480, 3540, 3460
6, 151, 80.0, 3300, 3250, 3400, 3350, 3280, 3320, 3380, 3300
6, 153, 80.2, 3140, 3090, 3240, 3190, 3120, 3160, 3220, 3140
6, 155, 80.4, 2980, 2930, 3080, 3030, 2960, 3000, 3060, 2980
6, 157, 80.6, 2820, 2770, 2920, 2870, 2800, 2840, 2900, 2820
6, 159, 80.8, 2660, 2610, 2760, 2710, 2640, 2680, 2740, 2660
6, 161, 81.0, 2500, 2450, 2600, 2550, 2480, 2520, 2580, 2500
6, 163, 81.2, 2340, 2290, 2440, 2390, 2320, 2360, 2420, 2340
6, 165, 81.4, 2180, 2130, 2280, 2230, 2160, 2200, 2260, 2180
6, 167, 81.6, 2020, 1970, 2120, 2070, 2000, 2040, 2100, 2020
6, 169, 81.8, 1860, 1810, 1960, 1910, 1840, 1880, 1940, 1860
6, 171, 82.0, 1700, 1650, 1800, 1750, 1680, 1720, 1780, 1700
6, 173, 82.2, 1540, 1490, 1640, 1590, 1520, 1560, 1620, 1540
6, 175, 82.4, 1380, 1330, 1480, 1430, 1360, 1400, 1460, 1380
6, 177, 82.6, 1220, 1170, 1320, 1270, 1200, 1240, 1300, 1220
6, 179, 82.8, 1060, 1010, 1160, 1110, 1040, 1080, 1140, 1060
6, 181, 83.0, 900, 850, 1000, 950, 880, 920, 980, 900
6, 183, 83.2, 740, 690, 840, 790, 720, 760, 820, 740
6, 185, 83.4, 580, 530, 680, 630, 560, 600, 660, 580
6, 187, 83.6, 520, 490, 560, 530, 500, 510, 550, 520
6, 189, 83.8, 490, 470, 510, 500, 480, 490, 500, 490
6, 191, 84.0, 470, 460, 480, 475, 465, 470, 480, 470
6, 193, 84.2, 460, 455, 470, 465, 458, 462, 468, 460
6, 195, 84.4, 455, 450, 465, 460, 453, 457, 463, 455
6, 197, 84.6, 450, 448, 460, 456, 450, 452, 458, 450
6, 199, 84.8, 448, 446, 456, 453, 448, 450, 455, 448
6, 201, 85.0, 446, 444, 454, 451, 446, 448, 453, 446
6, 203, 85.2, 444, 443, 452, 450, 445, 447, 451, 444
6, 205, 85.4, 443, 442, 450, 448, 444, 446, 450, 443
6, 207, 85.6, 442, 441, 449, 447, 443, 445, 449, 442
6, 209, 85.8, 441, 440, 448, 446, 442, 444, 448, 441
6, 211, 86.0, 440, 439, 447, 445, 441, 443, 447, 440
6, 213, 86.2, 440, 439, 446, 444, 441, 442, 446, 440
6, 215, 86.4, 439, 438, 445, 444, 440, 442, 445, 439
6, 217, 86.6, 439, 438, 445, 443, 440, 441, 445, 439
6, 219, 86.8, 438, 437, 444, 443, 439, 441, 444, 438
6, 221, 87.0, 438, 437, 444, 443, 439, 440, 444, 438
6, 223, 87.2, 438, 437, 443, 442, 439, 440, 443, 438
6, 225, 87.4, 437, 436, 443, 442, 438, 440, 443, 437
6, 227, 87.6, 437, 436, 443, 442, 438, 439, 443, 437
6, 229, 87.8, 437, 436, 442, 441, 438, 439, 442, 437
6, 231, 88.0, 437, 436, 442, 441, 438, 439, 442, 437
6, 233, 88.2, 436, 435, 442, 441, 437, 439, 442, 436
6, 235, 88.4, 436, 435, 442, 441, 437, 438, 441, 436
6, 237, 88.6, 436, 435, 441, 440, 437, 438, 441, 436
6, 239, 88.8, 436, 435, 441, 440, 437, 438, 441, 436
6, 241, 89.0, 436, 435, 441, 440, 437, 438, 441, 436
6, 243, 89.2, 435, 434, 441, 440, 436, 438, 440, 435
6, 245, 89.4, 435, 434, 440, 439, 436, 437, 440, 435
6, 247, 89.6, 435, 434, 440, 439, 436, 437, 440, 435
6, 249, 89.8, 435, 434, 440, 439, 436, 437, 440, 435
6, 251, 90.0, 435, 434, 440, 439, 435, 437, 440, 435
6, 253, 90.2, 435, 434, 440, 439, 435, 437, 440, 435
6, 255, 90.4, 434, 433, 439, 438, 435, 436, 439, 434
6, 257, 90.6, 434, 433, 439, 438, 435, 436, 439, 434
6, 259, 90.8, 434, 433, 439, 438, 435, 436, 439, 434
6, 261, 91.0, 434, 433, 439, 438, 435, 436, 439, 434
6, 263, 91.2, 434, 433, 439, 438, 435, 436, 439, 434
6, 265, 91.4, 434, 433, 439, 438, 434, 436, 439, 434
6, 267, 91.6, 434, 433, 439, 438, 434, 436, 439, 434
6, 269, 91.8, 434, 433, 439, 438, 434, 435, 438, 434
6, 271, 92.0, 434, 433, 439, 438, 434, 435, 438, 434
6, 273, 92.2, 434, 433, 438, 437, 434, 435, 438, 434
6, 275, 92.4, 433, 432, 438, 437, 434, 435, 438, 433
6, 277, 92.6, 433, 432, 438, 437, 434, 435, 438, 433
6, 279, 92.8, 433, 432, 438, 437, 434, 435, 438, 433
6, 281, 93.0, 433, 432, 438, 437, 434, 435, 438, 433
6, 283, 93.2, 433, 432, 438, 437, 434, 435, 438, 433
6, 285, 93.4, 433, 432, 438, 437, 433, 435, 437, 433
6, 287, 93.6, 433, 432, 438, 437, 433, 434, 437, 433
6, 289, 93.8, 433, 432, 438, 437, 433, 434, 437, 433
6, 291, 94.0, 433, 432, 438, 437, 433, 434, 437, 433
6, 293, 94.2, 432, 431, 437, 436, 433, 434, 437, 432
6, 295, 94.4, 432, 431, 437, 436, 433, 434, 437, 432
6, 297, 94.6, 432, 431, 437, 436, 433, 434, 437, 432
6, 299, 94.8, 432, 431, 437, 436, 433, 434, 437, 432
6, 301, 95.0, 432, 431, 437, 436, 433, 434, 437, 432
